npsn,level,name
10211090,SMK,SMKS DWIWARNA
10211092,SMK,SMKS MUHAMMADIYAH 9 MEDAN
10211094,SMK,SMKS MULTI KARYA
10211095,SMK,SMKS NAHDLATUL ULAMA 2
10211096,SMK,SMKS SAMUDERA INDONESIA
10211098,SMK,SMKS TI PALAPA MEDAN
10211099,SMK,SMKS PANCA BUDI 1
10211200,SMK,SMKS PARULIAN 3
10211203,SMK,SMKS MMA UISU
10211205,SMK,SMKS 1 TI MEDAN PUTRI
10211207,SMK,SMKS GRAFIKA BINA MEDIA
10211208,SMK,SMKS HARAPAN MEKAR 1
10211209,SMK,SMK TI SWASTA BUDI AGUNG
10211210,SMK,SMKS IMMANUEL
10211211,SMK,SMKS INDONESIA MEMBANGUN 1
10211212,SMK,SMKS JOSUA
10211214,SMK,SMKS LESTARI MEDAN
10211215,SMK,SMK Swasta Markus 2 Medan
10211218,SMK,SMKS PRAYATNA 2 MEDAN
10211220,SMK,SMKS BM APIPSU
10211221,SMK,SMKS HARAPAN MEKAR 2
10211223,SMK,SMKS HASANUDDIN
10211225,SMK,SMKS INDONESIA MEMBANGUN 2
10211226,SMK,SMKS ISLAM AZIZI
10211227,SMK,SMKS JAMBI
10211240,SMK,SMKS KATOLIK MARIANA
10211242,SMK,SMKS KRAKATAU
10211243,SMK,SMKS LAKSAMANA MARTADINATA
10211244,SMK,SMK SWASTA GAJAH MADA
10211245,SMK,SMKS ERIA
10211246,SMK,SMKS EKA PRASETYA MEDAN
10211247,SMK,SMKS BINA BERSAUDARA 1 MEDAN
10211249,SMK,SMKS BINA TARUNA 2
10211250,SMK,SMKS AL WASHLIYAH 3
10211251,SMK,SMKS BM PALAPA
10211252,SMK,SMKS BRIGJEN KATAMSO
10211253,SMK,SMKS BUDI AGUNG
10211254,SMK,SMKS BUDISATRYA
10211255,SMK,SMKS BUDI SUNGGAL
10211256,SMK,SMKS DHARMA BAKTI 1
10211259,SMK,SMKS PERGURUAN MABAR
10211261,SMK,SMKS PANCA BUDI 2
10211262,SMK,SMKS PARULIAN 1
