"npsn","naungan","npyp","link"
"10202737","Yayasan Perguruan Berdikari","AL9808","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E33357BA-DE25-11E5-BD2A-1F1A842C9EEF"
"10202738","YAYASAN TAMAN ILMU","AL9818","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C63196B6-6230-44D6-A69B-0BB30496FCEB"
"10202739","Yayasan Tunas Jaya Simalungun","AI8117","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9C3FEE7B-C03B-4FFC-84BF-F84B93E21516"
"10202752","Yayasan Islam Simalungun","AH2163","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=ADB8301D-5D36-4756-A011-011CB33146E7"
"10202753","Yayasan YPI DHARMA BUDI","AH2170","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C6DF69AA-8ECC-11E3-B187-7779510FFCBC"
"10202755","YAYASAN PUTERI HATI KUDUS","AK4073","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9593C9B9-8959-4E60-AFAB-6B227411DE2B"
"10202756","Yayasan AL JAM'IYATUL WASHLIYAH","AK4036","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0662ED56-E324-40AA-9A67-EB76CC29AC94"
"10202757","YAYASAN PENDIDIKAN KELUARGA INSAN CENDIKIA SIMALUNGUN","AB1902","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E5CBA8F8-EAEC-4F09-B728-F50ABFA79EA9"
"10202768","Yayasan SMA S YPI DHARMA BUDI","AH2166","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4D060917-C5B1-498C-B9F7-4EDB0E1E42DA"
"10202769","Yayasan PERGURUAN TUNAS HARAPAN","AL9850","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=97697503-D678-48B7-8744-16CC7A835E01"
"10202772","YAYASAN PENDIDIKAN TELADAN JAYA BANGUN","AL9878","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4BB5F180-006C-4EE2-96FB-3C533C7EAB48"
"10202776","Yayasan Pendidikan Katolik Santo Yoseph Medan","AB7948","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9A4AB405-CC3A-4D5E-ABE8-0879350E3E61"
"10202778","Yayasan PERGURUAN SATRYA BUDI PERDAGANGAN","AL9807","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E41A544C-4D0B-11E3-84A4-E34FE4F71184"
"10202782","Yayasan Perguruan TPI AL- HASANAH","AK4111","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7ACED90F-5C8C-4D92-9914-3C1639CD82DD"
"10202783","","",""
"10203516","Yayasan Pendidikan Bukit Cahaya","AN2913","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=704367ED-78E1-4A4B-988C-24ECD9C05807"
"10203517","Yayasan Pendidikan Bukit Cahaya","AN2913","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=704367ED-78E1-4A4B-988C-24ECD9C05807"
"10203518","YAYASAN PERGURUAN KESUMA","AB6796","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E3C70C7D-3426-47A5-BE1C-08AA92614E60"
"10203520","","-",""
"10203521","Yayasan YP. RIS MADUMA","AB6737","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=13E1A4F6-D68A-4056-8FE5-BA34E5577EC3"
"10203523","YAYASAN SERI AMAL MEDAN","AM0392","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9997F8EE-57F5-11E3-B05C-0B54A328C9F0"
"10203525","YAYASAN PENDIDIKAN GEREJA MASEHI ADVENT HARI KETUJUH SUMATERA UTARA","AE9677","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=09E177C2-3E48-11E4-BBF8-9B36FB2F7F6D"
"10203539","","-",""
