NYPY,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,NPYP
AI2891,20300764,SD ISLAM AL IRSYAD GINTUNGREJA,SD,Kec. Gandrungmangu,Kab. Cilacap,Prov. Jawa Tengah,
AB6180,69822416,SMA DAYAH PERBATASAN MINHAJUSSALAM,SMA,Kec. Penanggalan,Kota Subulussalam,Prov. Aceh,
AB6180,10112887,SMP Dayah Perbatasan Minhajussalam,SMP,Kec. Penanggalan,Kota Subulussalam,Prov. Aceh,
AH6510,40301120,SD HASANUDDIN,SD,Kec. Somba Opu,Kab. Gowa,Prov. Sulawesi Selatan,
AH6510,40301124,SMAS HASANUDDIN,SMA,Kec. Somba Opu,Kab. Gowa,Prov. Sulawesi Selatan,
AH6510,40313506,SMP HASANUDDIN,SMP,Kec. Somba Opu,Kab. Gowa,Prov. Sulawesi Selatan,
AC5949,69956387,SMA SYEKH MUH SAMMAN MAKASSAR,SMA,Kec. Tallo,Kota Makassar,Prov. Sulawesi Selatan,
AI8160,10202680,SMA SWASTA KARYA SIMANTIN,SMA,Kec. Panei,Kab. Simalungun,Prov. Sumatera Utara,
AI8160,10202522,SMP SWASTA KARYA SIMANTIN,SMP,Kec. Panei,Kab. Simalungun,Prov. Sumatera Utara,
AH4472,10603721,SMK NURUL IMAN PALEMBANG,SMK,Kec. Kemuning,Kota Palembang,Prov. Sumatera Selatan,
AH4472,10603916,SD IT NURUL IMAN PALEMBANG,SD,Kec. Kemuning,Kota Palembang,Prov. Sumatera Selatan,
AH4472,10609671,SMA NURUL IMAN PALEMBANG,SMA,Kec. Kemuning,Kota Palembang,Prov. Sumatera Selatan,
AH4472,10644219,TK NURUL IMAN,TK,Kec. Kemuning,Kota Palembang,Prov. Sumatera Selatan,
AH4472,10609552,SMP NURUL IMAN PALEMBANG,SMP,Kec. Kemuning,Kota Palembang,Prov. Sumatera Selatan,
