"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AK1570","Uswatun Hasanah Kediri","Jl. Air Mancur No.39, Rembang, Kec. Ngadiluwih, Kab. Kediri Prov. Jawa Timur","M.Imaduddin,SE.","Agung Wahyu Muhyantoro","64171","13","18 Mar 2016","1"
"AG4375","LIJAMUL ATHFAL","Kp. Selamanjah, -, Kec. Cibadak, Kab. Sukabumi Prov. Jawa Barat","RE. RACHMAH","norman mardiana","43351","10","18 Sep 2013","1"
"AJ4855","Yayasan Pendidikan Nur Hidayah","Jl. Raya Kresek, Merak, Kec. Sukamulya, Kab. Tangerang Prov. Banten","Edi Sanaca, S.Pd.I","AHMAD NURHIDAYAT","15610","","30 Jun 2015","1"
"AN4713","Majelis Darud Dak'wah Wal Irsyad","Komp. UNTAN, Bangka Belitung, Kec. Pontianak Selatan, Kota Pontianak Prov. Kalimantan Barat","Drs. Aby Sofian","SATRIO PUTRA SUDIARTO, S.Pd","","12","04 Feb 1986","1"
"AD7683","Yayasan Islam Al-Qudwah",", Kemiri Muka, Kec. Beji, Kota Depok Prov. Jawa Barat","Ir. Agus Wijayakusumah","YUSUF FAJAR HUTOMO","","","09 May 2014","3"
"AA5876","DUTA PRATAMA","Perum Arrasy Blok A No 1, CIPARI, Kec. Mangkubumi, Kota Tasikmalaya Prov. Jawa Barat","PURWATI, S.KM, MARS","Riska Nurpiani","46181","441","26 Dec 2012","1"
"AD5313","Wahdatut Tholab","Jl. Syekh Mengger, -, Kec. Kapetakan, Kab. Cirebon Prov. Jawa Barat","Syahidin, SHI, M.HI","Muhammad Ali Rosyidin","45152","65","29 Jun 2009","1"
"AE1931","ARGOMULYO","SRONTAKAN, ARGOMULYO, SEDAYU, BANTUL, ARGOMULYO, Kec. Sedayu, Kab. Bantul Prov. D.I. Yogyakarta","ARYO WINOTO, S. Pt.","PURWANTI","55753","12","14 Jan 1971","1"
"AF4569","YAYASAN PENDIDIKAN PUTRA  PANGKALANBUN","JL. HM. RAFII, MADUREJO, Kec. Arut Selatan, Kab. Kotawaringin Barat Prov. Kalimantan Tengah","HJ. SYAMSIAR","Novan Harfiansyah S.Pd","74112","02","01 Jul 1990","1"
"AM4454","YAYASAN PESANTREN MODERN DATOK SULAIMAN","JL. DR. RATULANGI , -, Kec. Bara, Kota Palopo Prov. Sulawesi Selatan","Drs. K. H. JABANI","Andra Maulana","91914","57","17 Nov 1982","8"
"AL2990","Yayasan Haji Umar Sanusi Afidin","Kp Cinunjang Mandalamekar, Mandalamekar, Kec. Jatiwaras, Kab. Tasikmalaya Prov. Jawa Barat","Budi Setiadi","Ahmad Taufik","46185","","20 Dec 2014","2"
"AA2049","YPI Al Muawanah CIanjur",", Pamoyanan, Kec. Cianjur, Kab. Cianjur Prov. Jawa Barat","Drs. H. Wawan Munawar RS, M.Pd","Yoga Gumilar","","01","17 Jun 1971","1"
"AK3558","YAYASAN UMMUL YATAMA AL-WALIYAH SERAMBI MEKKAH","Meulaboh-Peureumeu, Blang Beurandang, Kec. Johan Pahlawan, Kab. Aceh Barat Prov. Aceh","HJ. MURNIATI","TEUKU SULTANI","23618","3.18/341.2008","20 Aug 2008","1"
"AJ6393","YAYASAN PENDIDIKAN ISLAM AMALIYAH","JL.HM.ASYARI, CIBINONG, Kec. Cibinong, Kab. Bogor Prov. Jawa Barat","Drs.H.MAD THOTIR.MM","MOCH ZAINAL HASAN","16911","2","12 Sep 1995","1"
"AX1895","YAYASAN ANTONIUS PADUA PAPUA","Jl. Raya Kemiri No 29, -, Kec. Sentani, Kab. Jayapura Prov. Papua","YOHANES KORE, OFM","Gabriel Payong","99352","Nomor 3 Tahun 2019","16 Sep 2019","2"
"AX4786","Yayasan Pondok Pesantren Aeng Cellep Banyuglugur","Kalianget Banyuglugur Situbondo, -, Kec. Banyuglugur, Kab. Situbondo Prov. Jawa Timur","Lintang Mubashirotul M, S.Psi","ABDUL NANANG","68359","47","28 Jul 2020","1"
"AF9200","AL- ITTIHADY ASARWANI","Jln.Istiqomah No 348, -, Kec. Manggelewa, Kab. Dompu Prov. Nusa Tenggara Barat","Musawwirin,S.Ag","AHMAD TARMIZI","84262","001/Y-X/Q-H/04-10-94/1994","04 Oct 1994","1"
"AM2528","Yayasan Pendidikan Karya Pembangunan Gajahmada Metro","Jl. Jend. Sudirman Ganjaragung 14/2, Ganjaragung, Kec. Metro Barat, Kota Metro Prov. Lampung","Hj. Indah Murniati, M.Pd","SETIA BUDHI SAMPURNA","34114","04/90","09 Aug 2014","1"
"AG2219","YAYASAN PERGURUAN TRIGUNA UTAMA SYARIF HIDAYATULLAH","Jl. Ir. H. Juanda KM. 2, -, Kec. Ciputat Timur, Kota Tangerang Selatan Prov. Banten","Prof. Dr. Mundzier Suparta, MA","Ardiyansah","15412","827/V/2018","31 May 2018","1"
"AL7698","PESANTREN SOSIAL ASSALAM","JL. RAYA SUKOSARI, REJOYOSO, Kec. Bantur, Kab. Malang Prov. Jawa Timur","JUFRI SYARIFUDDIN","RUDI CAHYONO, S.Pd","65179","AHU-0007142.50.80.2014","03 Oct 2014","3"
