"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AA3665","YAYASAN AL-WASHLIYAH CIREBON","Jalan Fatahillah No. 20, -, Kec. Sumber, Kab. Cirebon Prov. Jawa Barat","Drs. H. MULYANI","MUKROD","45611","139","14 Apr 2011","5"
"AC9884","ISHLAAHUL UMMAH","JL. KERAMAT SOLEAR, SOLEAR, Kec. Solear, Kab. Tangerang Prov. Banten","SYIARAN","SULISTIN","15730","90","15 Apr 2010","2"
"AA3556","Yayasan Al Jabbar Ciledug","Jl. LetJend. S. Parman, Desa Leuweunggajah, Kec. Ciledug, Kab. Cirebon Prov. Jawa Barat","Retno Widodo, SE.MM","NANA SUTISNA","45188","AHU-154-AH-01-04","07 May 2009","1"
"AK8905","Yayasan Sahabat Muadz Indonesia","Jl. Prof Abdurrauf Tarimana, -, Kec. Kambu, Kota Kendari Prov. Sulawesi Tenggara","Zezen Zaenal Mursalin","Darwis, S.Pd.","93231","08","17 Jun 2020","5"
"AC1986","Yayasan Pendidikan Bhakti Utama Bandar Lampung","Jl. Panglima Polim No. 2A, -, Kec. Tanjung Karang Barat, Kota Bandar Lampung Prov. Lampung","Drs. A. Fachruddin Mng, M.M","Kevin Aditya Pratama","35152","970/I.12.B1/U/1990","04 Sep 1990","2"
"AN7308","Yayasan Al-Hamra Serang Banten","Jl. Sungai Ciujung Lama, Kemanisan, Kec. Tirtayasa, Kab. Serang Prov. Banten","Supiani, S.I.P","IIS SUWANTO","42193","04","09 Aug 2010","1"
"AA6529","Yayasan Seraphine Bakti Utama","Jalan Gajah Mada, -, Kec. Bayan, Kab. Purworejo Prov. Jawa Tengah","Sr. Elisabet Sri Widayanti ADM.","Margaretha Dyah Ratna Sari","54222","103","27 May 1940","15"
"AE0332","Yayasan Kholiliyah Bangsri","Kompleks Bale Romo, Dk. Banjarsari, Wedelan, Kec. Bangsri, Kab. Jepara Prov. Jawa Tengah","Ahmad Aniq Munir, Lc","Akhmad Iskak","","10","30 Jul 2011","3"
"AF0640","YAYASAN TUNAS TERATAI TAPUNG","JL. TERATAI RAYA, SUNGAI PUTIH, Kec. Tapung, Kab. Kampar Prov. Riau","-","Arum Dwi Amborowati","28464","AHU.3698AH01.042011","05 Jan 2009","3"
"AI3941","MIFTAHUL FALAH","Jln. Raya Muria No. 1 A Km. 07 Cendono Dawe Kudus, CENDONO, Kec. Dawe, Kab. Kudus Prov. Jawa Tengah","Drs, H. Munif","NAILI FARIHA","59353","01","04 Sep 1990","1"
"AG0277","Karya Agung","Jl.Bakti Karya Oebobo, Oebobo, Kec. Oebobo, Kota Kupang Prov. Nusa Tenggara Timur","Gregorius M H Niron","Nila Yulianti Openg","52111","503/2479/imb/ck/1999","05 Jun 1990","2"
"AL6666","BAHRUL ULUM","Jl. Pelemwatu, Pelemwatu, Kec. Menganti, Kab. Gresik Prov. Jawa Timur","MOH IMRON, S.Pd","MOCH. NUR YAHYA","61174","01","09 May 2006","2"
"AI3021","YAYASAN PONDOK PESANTREN MIFTAHUSSHOLIHIN","JL.RAYA SIGALUH KM.10, GEMBONGAN, Kec. Sigaluh, Kab. Banjarnegara Prov. Jawa Tengah","K.H. AHMAD NGISOM, AL-HAFIDZ","","53481","421/205/TAHUN 2007","09 Apr 2007","1"
"AD9918","Badan Pelaksana Penyelenggara Pendidikan Ma'arif NU","Jl. Pemuda Gang IV, Tawangsari-Leteh, Leteh, Kec. Rembang, Kab. Rembang Prov. Jawa Tengah","KH. Muslih Mustofa","M. IMAM SUBHAN","","227","22 Jul 2002","1"
"AJ5453","Yayasan Pondok Pesantren  Hidayatullah Batam","Jl. R. Soeprapto, -, Kec. Batu Aji, Kota Batam Prov. Kepulauan Riau","H. Jamaluddin Nur","GANDHA YURA PRAGUNA","29424","1226/422/DIKMEN/VIII/2008","22 Aug 2008","8"
"AB3132","YAYASAN DARUL MUSTHOFA","JL. PESANTREN NO. 7, MUNENG KIDUL, Kec. Sumberasih, Kab. Probolinggo Prov. Jawa Timur","KH. ABD MAJID","ABDUL MALIK","67251","20","16 Jun 2004","1"
"AL8284","Ponpes Al Muhajirin","Jl. Makam Mronggi, Mrawan, Kec. Mayang, Kab. Jember Prov. Jawa Timur","Dewi Khoiriyah","","68182","131","01 Jan 2007","1"
"AH0248","Yayasan Pendidikan Islam Al-Khairiyah","batur, batur, Kec. Gading, Kab. Probolinggo Prov. Jawa Timur","K.Abdullah rusdyi","Lailatul Fithriyah","67285","29","18 Sep 2000","1"
"AG1192","PERGURUAN MATHLA'UL ANWAR PUSAT MENES","PRAPATAN CIMANYING MENES, MENES, Kec. Menes, Kab. Pandeglang Prov. Banten","DR. H. JIHADUDDIN, M.Pd.","Ade Triana Hidayah","42262","","07 Mar 2011","4"
"AE0503","Nurul Mushthofa Demak","jl. walisongo, Kedungwaru Kidul, Kec. Karanganyar, Kab. Demak Prov. Jawa Tengah","Solikin Mugono","SITI MAESAROH, S.Pd.I","59582","","12 Mar 2007","2"
"AJ3522","YAYASAN PENDIDIKAN ISLAM SANTONG","LINGKOK SATI DESA SANTONG KECAMATAN TERARA LOMBOK TIMUR NTB, Santong, Kec. Terara, Kab. Lombok Timur Prov. Nusa Tenggara Barat","MUH. YAHYA HUSNI","YUNIA NINGSIH, S.Pd.","83663","01/SKP/YAPIS/VI/2006","23 Jun 2006","3"
"AL3053","Pendidikan Pesantren Salafiyah Plus Arifurrohmah","Desa Darma, Darma, Kec. Darma, Kab. Kuningan Prov. Jawa Barat","Drs. H. Asyikin Hidayat, S.Sos.,M.Si","Pina Patmawati","45562","Kd.10.08/5/PP.00.7/707/2010","19 Apr 2010","1"
"AJ8722","Yayasan Pendidikan Budi Bhakti Depok","Jl. Kompleks Adhi Karya (Pedati-Poncol) No. 8, Depok, Kec. Pancoran Mas, Kota Depok Prov. Jawa Barat","Hj. Rohayati","","16431","25,-","11 Nov 2013","1"
"AN4459","Yayasan Budi Utama Wacana","Totomulyo, Totomulyo, Kec. Gunung Terang, Kab. Tulang Bawang Barat Prov. Lampung","Fauzan Himdi","HENDRIKUS YUDHIS HERMAWAN","34594","38","14 Mar 1987","2"
"AC4595","Yayasan Sosial Kesejahteraan Anak Tiberias","Jalan Lingkar peling, koyobunga, Koyobunga, Kec. Bulagi Utara, Kab. Banggai Kepulauan Prov. Sulawesi Tengah","Suastaria Pouwano","TENLIANA SINAGA","94782","20.P/USB/VI/2007","30 Jun 2007","2"
"AX4294","YAYASAN PENDIDIKAN PERSADA DRAMAGA BOGOR","Jl. Tegalwaru No. 89, -, Kec. Ciampea, Kab. Bogor Prov. Jawa Barat","Dr. H. Teguh Prajitno, SE.,MM","MUHAMMAD TRIYANTORO","16620","13","28 Dec 2016","1"
"AM4999","BINTANG PERSADA","JL GATOT SUBROTO BARAT NO 466A, PADANG SAMBIAN KAJA, Kec. Denpasar Barat, Kota Denpasar Prov. Bali","I GUSTI MADE ARYASA SUSANTIA, S.P","Dewa Putu Rudy Setiawan","80117","193","25 Oct 2004","3"
"AJ5259","Pimpinan Wilayah Muhammadiyah (PWM) Prov. Kepulauan Bangka Belitung","Jl. K. H. Ahmad Dahlan KM 4, -, Kec. Rangkui, Kota Pangkalpinang Prov. Kepulauan Bangka Belitung","Drs. H. Sahirman Djumli, M.M","Gatot Afrianto","33134","J.A.S/160/5","09 Aug 1971","7"
"AA3097","YAYASAN KIYAI HAJI ABDUL AZIZ MULIA","Jl. Raya Timur Borolong No. 175, Cipakat, Kec. Singaparna, Kab. Tasikmalaya Prov. Jawa Barat","Drs. Teteng Muhlis Azis, M.Pd","Maulana Ibrahim","46417","111","16 Jun 2014","1"
"AC2189","Yayasan Ummul Quro","Jl. Swadaya, Sungai Purun Kecil, Kec. Sungai Pinyuh, Kab. Mempawah Prov. Kalimantan Barat","Kh. Cholili Qusyairi","SUPANDI","78535","","12 Aug 2015","1"
"AE5747","DARUL ULUM AL ISHAQI","Jl. Merapi No. 46, -, Kec. Bangsalsari, Kab. Jember Prov. Jawa Timur","Khairuddin Fahrully","ACH LUTFI","68154","no.72","26 Nov 2006","3"
"AB9090","DAARUL-RAHMAN INDRAGIRI","Jl. Provinsi, -, Kec. Tempuling, Kab. Indragiri Hilir Prov. Riau","BADRUN MASRAN. S.Ag","Abdul Rajab","29261","93","29 Mar 2011","2"
"AW7774","YAYASAN CENDIKIA CIPTA UTAMA RANCAKALONG","Komplek Bumi Asri No. A32, -, Kec. Panyileukan, Kota Bandung Prov. Jawa Barat","DEWI RATNA YULIARTI","LUTFI MAULANA","40614","13","28 Aug 2013","1"
"AO1390","LP Ma'arif","JL. Kyai H. Hasyim Ashari No.21, Kauman, Kec. Klojen, Kota Malang Prov. Jawa Timur","Drs. MOCHTAR DATA , M.Pd","Assa Lutfiatul Baiti","","103/1986","10 Mar 1986","2"
"AG1641","YAYASAN BAITURROHMAN CINANGKA","KP.CIPANAS, PASAURAN, Kec. Cinangka, Kab. Serang Prov. Banten","BAKRI","JAHRONI","42167","26.-","21 Sep 2011","1"
"AG3885","Pendidikan Islam Al-Chairiyah Cipinang Muara","Cipinang Muara III Kav PLN, Cipinang Muara, Kec. Jatinegara, Kota Jakarta Timur Prov. D.K.I. Jakarta","H. Abidin Abdullah, SE","H. Moh Hasyim, M.Pd","13420","12/101.A1/I/88","30 Jun 1988","1"
"AG1343","Insan Mandiri Alkhairi","Jln. Prof. Dr. Ir. Soetami Km. 5, Nameng, Kec. Rangkasbitung, Kab. Lebak Prov. Banten","Surahmat, A.Md.Kom","Putri Mega Silvia Hutami","42312","No. AHU-0006623.AH.01.04","04 Apr 2017","1"
"AC3408","YAYASAN AL-HIDAYAH BANJARMASIN CAB. KOTABARU","Jl. Bima No. 134, BAHARU UTARA, Kec. Pulau Laut Utara, Kab. Kotabaru Prov. Kalimantan Selatan","H. SYAIRANI YUSRAN","RINI IDAWATI","72112","NO. 001/CJH//XI/1983","07 Oct 1983","1"
"AH0655","AL HAMMADA","Jl. Raya Jember, KALIBARU KULON, Kec. Kalibaru, Kab. Banyuwangi Prov. Jawa Timur","KH. MURSYID MACHFUDZ, BA","Abdul Ghofur, S.Kom","","003","26 Oct 2006","1"
"AI1592","Bina Insan Mulia","Blok Tegal Koneng Rt.29 Rw.10 Ds. Cisaat Kec. Dukupuntang Kab. Cirebon, Cisaat, Kec. Dukupuntang, Kab. Cirebon Prov. Jawa Barat","KH. Imam Jazuli, Lc. MA","Sulaeman Ramdan","45652","422.1/2412.Dikmen","31 Dec 2012","2"
"AA3818","YAYASAN PENDIDIKAN ISLAM PUTRA JAKA TARUB","jalan mayor dasuki no.92 indramayu, penganjang, Kec. Sindang, Kab. Indramayu Prov. Jawa Barat","Drs.H.S.Insanul Kamil","TARYONO","45252","41","11 Oct 2013","1"
"AJ7547","ASY-SYAHIDA CIKEDUK","KI YANI, CIKEDUK, Kec. Depok, Kab. Cirebon Prov. Jawa Barat","Drs. ALIMIN","Itih sugiarti","45641","01","","1"
"AI3671","PERGURUAN AL ISLAM GROBOGAN","JL. RADEN PATAH NO.128, -, Kec. Grobogan, Kab. Grobogan Prov. Jawa Tengah","SUPRIYO","Puri Sholawatiyah","58152","63","28 Sep 1979","1"
"AG1670","Ibnu Salam Nurul Fikri","Jl. Palka, Bantarwaru, Kec. Cinangka, Kab. Serang Prov. Banten","KH. Achmad Munaji, Lc.","Dadan M. Ramdan, S.Kom.","42167","C-65.HT.03.01.TH.2006","20 Apr 2006","2"
"AJ6604","PENDIDIKAN ISLAM TAMAN FIRDAUS","KP. PACANTILAN, PURWASARI, Kec. Cicurug, Kab. Sukabumi Prov. Jawa Barat","Drs. AAN, MM.Pd","TRI JULIYANTO","43359","01","03 Mar 2008","1"
"AI1281","BIDARA MUKTI","Jl. Pembangunan No. 112, Sukajaya, Kec. Tarogong Kidul, Kab. Garut Prov. Jawa Barat","H. MULYANA, SH., MPd.,MH.Kes.","Moch Ikbal amiludin","","13","14 Aug 2008","1"
"AC2992","YAYASAN PENDIDIKAN PURNAMA PALANGKA RAYA","JALAN PATIH RUMBIH NO. 53 PALANGKA RAYA, LANGKAI, Kec. Pahandut, Kota Palangka Raya Prov. Kalimantan Tengah","MAMBANG TUBIL, SH., MAP","NOVERINA","","55","14 Oct 1998","1"
"AC8839","PENDIDIKAN BUMI MIMIKA MEMBANGUN","JLN.POROS MAPURUJAYA, MWARE, Kec. Mimika Timur, Kab. Mimika Prov. Papua Tengah","ALBERTUS LESOMAR, SH. MH","","99910","14","16 Sep 2006","1"
"AM6530","Yayasan Badan Kerja Sama Kegiatan Kristen (BKKK)","Jl. Kebon Jahe  No.2, Sukarasa, Kec. Tangerang, Kota Tangerang Prov. Banten","Pdt. YOUKE K SINGAL. MTh","DWI SUHARNOKO","15111","053/I.02/KEP/E.82","16 Mar 1982","3"
"AY1548","YAYASAN BAHRUL ULUM","Jl. PB. Sudirman, -, Kec. Rejoso, Kab. Nganjuk Prov. Jawa Timur","NURYASIN","Zulfa Rohmatul Aulia","64453","01","05 Apr 2021","2"
"AD0388","Ridiya Insan Unggul","Jl. Dipati Ukur No.19, Cibodas, Kec. Cibodas, Kota Tangerang Prov. Banten","Muhammad Fathur Ridho","IKHWANUL HAKIM","15138","13","08 Aug 2003","1"
"AC5975","Yayasan Pendidikan Nur Qalbi Kalamang","Jl. Poros KNPI No. 14, -, Kec. Biringkanaya, Kota Makassar Prov. Sulawesi Selatan","M. Daud. K","Sunarsi, A.Md.","90242","17","19 Oct 2001","1"
"AW9566","Yayasan Dharma Bakti Bulungan","Jl. H. Maskur RT. 016 RW.006 No.02 Kel. Tanjung Selor Hilir Kab. Bulungan  , -, Kec. Tanjung Selor, Kab. Bulungan Prov. Kalimantan Utara","Iman Suramenggala, S.Hut.,M.Sc","Sukarti","77212","AHU-03239-50.10.2014","30 Jun 2014","1"
"AI1366","Citra Bakti Mandiri","jln. raya suryalaya, Puteran, Kec. Pagerageung, Kab. Tasikmalaya Prov. Jawa Barat","H. Saepudin Jumhana, S.Pd","Junjun Ahmad Santosa","46158","174","18 Nov 2013","1"
"AN3464","Bunda Perwakilan Sumatera Barat","Jalan Rasuna Said No. 56, Ujung Gurun Timur, Kec. Padang Timur, Kota Padang Prov. Sumatera Barat","Ny. Hj. Zuraida Hasin Basri Durin","TRI YULIANDRE","","29","15 Apr 1971","1"
"AF7345","PENDIDIKAN BONERATE MAKASSAR","Jln. A.P.Pettarani 2 Lrg 7 No.1, Tamamaung, Kec. Panakukkang, Kota Makassar Prov. Sulawesi Selatan","AIDA MUSTAFA","HUDA","90171","007","03 Jul 1997","2"
"AN1311","YPI PSM CABANG PLEMAHAN","-, -, Kec. Plemahan, Kab. Kediri Prov. Jawa Timur","H. ZAENAL FANANI S.Ag","LENY ANDRIANTI","64155","1158","30 Apr 1958","2"
"AD5398","NURUL QUR'AN AL-HASAN","JL. KEBO, KAPRINGAN, Kec. Krangkeng, Kab. Indramayu Prov. Jawa Barat","SRI NENGSIH","ROHADI, S. Pd. I.","45284","","24 Oct 2011","1"
"AN8848","Yayasan Pendidikan H. Sudarto","Jl. Pendidikan No.18 Ds. Mangunjaya, -, Kec. Tambun Selatan, Kab. Bekasi Prov. Jawa Barat","Drs. H. Sudarto, M.Pd","MARGIYONO PRAYOGO","17510","01","01 Dec 2000","2"
"AD1177","YPK DI TANAH PAPUA","Jl.YOS SUDARSO , SORONG BARAT, Kec. Sorong Kota, Kota Sorong Prov. Papua Barat Daya","ROBERT RUMBIAK, Amd","Mariana Bindosano,S.Pd","","771","18 Jan 1962","20"
"AD1986","BADAN PENDIDIKAN KRISTEN PENABUR JAKARTA","JL.TANJUNG DUREN RAYA NO 4, TANJUNG DUREN, Kec. Grogol Petamburan, Kota Jakarta Barat Prov. D.K.I. Jakarta","ARDY JUARDI","Yulia Endar Kristyarini","11470","","05 Oct 2017","59"
"AY0433","YAYASAN PENDIDIKAN ISLAM PONDOK PESANTREN SIRNAMISKIN","Jl. KH. Wahid Hasyim No. 433, -, Kec. Bojong Loa Kidul, Kota Bandung Prov. Jawa Barat","Drs. H. Achmad Saefurridjal","Ilham Nugraha, ST","40235","16","17 Nov 2015","6"
"AG5158","BINA INSANI JAMANIS","JALAN CIOMAS, KARANGRESIK, Kec. Jamanis, Kab. Tasikmalaya Prov. Jawa Barat","ACEP ARIPUDIN","Sharif Hidayat Nuryamin","46175","C-146.HT.01.02.TH 2003","30 Jul 2003","2"
"AC5745","yayasan paradiba passampa","jl.passampa, bassiang timur, Kec. Ponrang Selatan, Kab. Luwu Prov. Sulawesi Selatan","saming S.Pdi","Iris Syahrum","","02","10 Apr 2011","1"
"AA8702","Tamansiswa","Jl. Raya Bebengan No. 263 Boja, Bebengan, Kec. Boja, Kab. Kendal Prov. Jawa Tengah","Sih Purwadi PM","","51381","No 1-Satu","07 Jul 1951","1"
"AE6995","Yayasan Ta'mirul Masjid Agung Kemayoran Surabaya","Jl. Indrapura 2, -, Kec. Krembangan, Kota Surabaya Prov. Jawa Timur","Drs. Ec. Mohammad Nasir","HENNY RISKIANA DEWI","60175","01441076560500","09 Jul 2013","5"
"AG3931","YAYASAN CAHAYA SAKTI","Jl. Otto Iskandardinata  I No. 11, -, Kec. Jatinegara, Kota Jakarta Timur Prov. D.K.I. Jakarta","Sritun Gandaputra","Ignatius Mardi Utomo","13310","C-1540.HT.03.02.TH1999","15 Jul 1999","5"
"AB6350","ANASTASIA","Jl. Jamin Ginting Km.14,5 Simp. Gardu, Dusun V. Komp. Griya Rumah Tengah, Namo Bintang, Kec. Pancur Batu, Kab. Deli Serdang Prov. Sumatera Utara","ELINUDIN NDRAHA, S. Th","IVAN NOEL NDARAHA,B.A","20353","02","02 Feb 2011","3"
"AL4408","YAYASAN KARYA TUNAS NUSANTARA MAJENANG","DR SOETOMO, JENANG, Kec. Majenang, Kab. Cilacap Prov. Jawa Tengah","Akhmad Muzaki, S.Pd.I","MUKHAMAD ASROF KHAERUDIN","53257","","01 Jun 2011","1"
"AC2612","Pendidikan Pratiwi Handayani","Jl. Tanjung Batu Sedau Singkawang, Sedau, Kec. Singkawang Selatan, Kota Singkawang Prov. Kalimantan Barat","Sambiyo","Iskandaria,S. Kom","79251","71","25 Mar 1985","1"
"AC2792","TARUNG RIWUT","Desa Luwuk Kanan, LUWUK KANAN, Kec. Tasik Payawan, Kab. Katingan Prov. Kalimantan Tengah","MANTREAS EDOE,SE","Widiya","74461","58","15 Apr 2010","2"
"AD1561","YAYASAN LEMBAGA PENDIDIKAN AL IHSAN","Jl. Kebon Kacang IX/57, KEBON KACANG, Kec. Tanah Abang, Kota Jakarta Pusat Prov. D.K.I. Jakarta","H. AMIRUDDIN ANWAR DIPL.ING","Nurhafifah Dwi Maulidina","10240","","","4"
"AL2864","AL-FALAH CITOE","JL. RAYA PANTAI SELATAN CIDADAP, -, Kec. Karangnunggal, Kab. Tasikmalaya Prov. Jawa Barat","YAYAT RUHIAT","Ade Ilyas Setiadi, S.Pd.","46186","01","02 Nov 2015","1"
"AN2913","Yayasan Pendidikan Bukit Cahaya","Jalan Makmur No. 10, Batang beruh, Kec. Sidikalang, Kab. Dairi Prov. Sumatera Utara","Drs. John H. Silalahi","Rumondang Siburian","22212","","01 Jul 2014","5"
"AN3476","Yayasan Pembangunan Pendidikan Nusantara","Jl. Marsda Surya Dharma Km. 7, -, Kec. Kota Baru, Kota Jambi Prov. Jambi","Ir. H. Zulkarnain Kamsya","Yolmi","36128","123","20 Oct 2014","2"
"AW8907","Yayasan Pendidikan Samarinda","Jl. Merdeka No 42, -, Kec. Sungai Pinang, Kota Samarinda Prov. Kalimantan Timur","Dr. Ibnu Araby, M. M. Pd.","Isnawati","75117","01","04 Dec 2017","2"
"AG5003","BAITUL HIKMAH AL-MA'MUNI","Jalan Ottoiskandardinata No. 66 A, -, Kec. Tarogong Kaler, Kab. Garut Prov. Jawa Barat","H. ABDUL AZIS SYAH MA'MUN, S.Ag","Deden Abdul Rauf","44151","03","09 Sep 1976","2"
"AJ3029","Darud Da'wah Wal Irsyad","Jl. Tekaka No. 9, Kandai, Kec. Kendari, Kota Kendari Prov. Sulawesi Tenggara","H.M. Badwi Kasim","Elfi Apriani M., S.Pt","93127","480/123.1/1986","02 Jan 1986","1"
"AF7663","Yayasan Pendidikan Al Fajrin Wakeakea","Jalan Poros Lombe-Tolandona, Wakeakea, Kec. Gu, Kab. Buton Prov. Sulawesi Tenggara","FARDIN D","DARMIN","93761","4","08 Feb 2012","1"
"AK2687","AL HUSAINIY","JALAN RAYA PONPES AL HOSEN, -, Kec. Kadur, Kab. Pamekasan Prov. Jawa Timur","SUBAIDI, S.Pd.I","ISBAD RIASUL FATHONAH","69355","45","24 Nov 2014","2"
"AB4303","Attaufiqiyah","Jalan Safari Nomor 035, Aengbajaraja, Kec. Bluto, Kab. Sumenep Prov. Jawa Timur","KH Azhari Mulyadi","Moh. Roisul Qomar","69466","37","14 Aug 2015","5"
"AA1235","Sabiilul Hudaa","Jl. Bojong Jengkol Barat, Cilebut Barat, Kec. Sukaraja, Kab. Bogor Prov. Jawa Barat","H. Syaronih","","16710","","22 Nov 2014","1"
"AG5061","Hikmatul Haq","Cibunar, Cibunar, Kec. Tarogong Kidul, Kab. Garut Prov. Jawa Barat","Jajang Jaenudin","JAJANG NURJAMAN","44151","AHU-0018659.AH.01.04. Tahun 2015","23 Oct 2015","3"
"AH2653","PERGURUAN JENDERAL SUDIRMAN","JL. SELAM I NO. 52, TEGALSARI MANDALA I, Kec. Medan Denai, Kota Medan Prov. Sumatera Utara","JOELI SALIM","Chrisman Arozawato Zendrato S.P.","20226","630/I05/A 1986","05 Sep 1960","4"
"AB8332","YAYASAN KEBANGSAAN INDONESIA RAYA",", KETAPING, Kec. Batang Anai, Kab. Padang Pariaman Prov. Sumatera Barat","AGUS RADIYONO, ST","NANDA MAHENDRA","","7","17 Jul 2009","1"
"AC2621","YAYASAN PERGURUAN MASYARAKAT KALIMANTAN BARAT","Jln. RAYA BENGKAYANG, -, Kec. Singkawang Timur, Kota Singkawang Prov. Kalimantan Barat","BONEVANTURA FRANS","KAFATINA IMELDA","79251","AHU-4081.AH.01.02.2008","08 Sep 2008","12"
"AE4556","Yayasan Pondok Pesantren Nurul Hikmah","Jl. Kanjeng Jimat Rejowinangun, Rejowinangun, Kec. Trenggalek, Kab. Trenggalek Prov. Jawa Timur","H. Ulang Setyadi, SH.,M.Si","Muhammad Hanafi","66317","","14 Feb 2014","2"
"AA9638","YAYASAN AL HIMSYA SEMARANG","Jl. Pandanaran no 58, -, Kec. Semarang Tengah, Kota Semarang Prov. Jawa Tengah","H. A. Eddy Sutarno, SE, MM","SARJONO","50134","6","03 Oct 2001","5"
"AI8700","Yayasan Gajah Mada","Jl. Tilak No. 95/97, -, Kec. Medan Kota, Kota Medan Prov. Sumatera Utara","NUR KHOLIS","ZIKRI NABILA","20214","04","15 May 2017","2"
"AX7186","Yayasan Nurul Iman Rawalo","Jl.Pesantren Kedungwangkal Banjarparakan Rawalo Banyumas , -, Kec. Rawalo, Kab. Banyumas Prov. Jawa Tengah","Laily Khumairoh, S.Sy.MA","NASRUDIN","53173","11","29 Feb 2016","1"
"AG7191","Al I'TISHOM","Kliwonan Grabag Magelang, Grabag, Kec. Grabag, Kab. Magelang Prov. Jawa Tengah","Dr.Ing.Ismoyo Haryanto, MT","Dwi Puji Lestari, S.Kom","56196","9","05 Sep 1997","1"
"AO0626","LP MA'ARIF NU","Jl. Jendral Sudirman no 8, KARTOHARJO, Kec. Kartoharjo, Kab. Magetan Prov. Jawa Timur","H.BASORI SH","Imelda Eka Aprilia","63116","33","17 Mar 1979","1"
"AM6207","Yayasan Ash-Shibgoh","Jl. Raya Serang Km.12, Bitung Jaya, Kec. Cikupa, Kab. Tangerang Prov. Banten","H. Hendra Mulia","Adi Prasatyo","15710","8","22 Mar 2001","1"
"AC0464","SMA BINA MANDIRI","JL. RAYA PALEMBANG- BETUNG KM 14, TANAH MAS, Kec. Talang Kelapa, Kab. Banyuasin Prov. Sumatera Selatan","Dr.Ir.H.Joni Arliansyah, M.T.","Putri Dian Sari","","2","06 Jun 2014","1"
"AN9446","BPSL SALAMAN","ngapus, Ngapus, Kalisalak, -, Kec. Salaman, Kab. Magelang Prov. Jawa Tengah","A. DARJONO","WAHYU WARDANINGSIH, S.Pd.","56162","02","01 Jan 1977","2"
"AX8588","Yayasan Pendidikan dan Kesehatan Kader Bangsa Palembang","Jl. Mayjen. H. M. Ryacudu No.88, -, Kec. Seberang Ulu I, Kota Palembang Prov. Sumatera Selatan","Ferry Preska Wathan. ST, MSC.E.ENG, PhD","Dian Hartati","30253","5","23 Jun 2010","1"
"AN5191","Yayasan Mulakirti",", Sempaja Timur, Kec. Samarinda Utara, Kota Samarinda Prov. Kalimantan Timur","Agus Gozali","MIRNA","75119","122","27 Aug 2012","5"
"AW8283","YAYASAN RATNA WARTHA UBUD","Jl. Sanggingan, Campuhan, Ubud, -, Kec. Ubud, Kab. Gianyar Prov. Bali","Prof. Dr. Tjokorda Gde Raka Sukawati, S.E.,M.M.","I Wayan Yastika, S.Pd., M.Pd.","80571","30","01 Oct 1953","1"
"AL3720","Yayasan Perguruan Nurul Islam","Jl. Telukambulu Bojong, Jayalaksana, Kec. Cabangbungin, Kab. Bekasi Prov. Jawa Barat","Satibi Yahya, S.Ag","FIFI SRI RATU AFIYATI","","2,-","28 May 1986","1"
"AL1849","YP AL WATHONIYAH AL IDRISIYAH","DR. KRT. RADJIMAN WIDYODININGRAT, JATINEGARA, Kec. Cakung, Kota Jakarta Timur Prov. D.K.I. Jakarta","Drs. H. M. Idris Muhalih, MM","PIRMAN","13930","23","26 May 2008","1"
"AI3683","HIDAYATUT THULLAB","Putat - Lebak Km 10, -, Kec. Grobogan, Kab. Grobogan Prov. Jawa Tengah","KH. Abdul Rokim","Nurul Qomarul Aziz","58152","795","31 Jan 2018","1"
"AK1080","AL MUHAMMADY","JL. KIRONOPATI, -, Kec. Sumobito, Kab. Jombang Prov. Jawa Timur","ADIL AMRULLAH","Agam Hyansantang Maulana","61483","AHU-0014764.AH.01.04.TAHUN 2015","29 Sep 2015","5"
"AB1461","NURUL FATTAH","SUMUR MOJO, DADAPAN, Kec. Solokuro, Kab. Lamongan Prov. Jawa Timur","AHMAD TAUFIQ","M. SADDAM YUSUF","62265","420/214/413.101/2013","31 Jul 2013","1"
"AA7176","YPI SUDIRMAN WONOGIRI","Jl. Ade Irma Suryani  No.27 Wonokarto  Wonogiri, -, Kec. Wonogiri, Kab. Wonogiri Prov. Jawa Tengah","H. SRIYONO, S.H.,M.M.","SENO SASONGKO","57612","02","14 Aug 2012","2"
"AD3513","DAR EL FIKRI CIANJUR","Jln. Arif Rahman Hakim No. 20 Cianjur, Muka, Kec. Cianjur, Kab. Cianjur Prov. Jawa Barat","IWAN GUSTIAWAN FADWI, SH","AHMAD KAHFI SULAEMAN","","01","02 Apr 2012","1"
"AF6077","yayasan Johannes Bitung",", Bitung Timur, Kec. Maesa, Kota Bitung Prov. Sulawesi Utara","Johanis","Fanni Alfionita Dalambide","","08","29 Apr 2002","1"
"AF9201","Yayasan Pendidikan Harapan Insan ( YAPEN HARIS )","Desa Banggo Kec. Manggelewa, Banggo, Kec. Manggelewa, Kab. Dompu Prov. Nusa Tenggara Barat","ABDUL WAHID","","84261","800/484/TAHUN 2014","24 Oct 2014","1"
"AM0484","PANCA ABDI BANGSA (PABA)","Jl. Padang Sidempuan No. 8, Rambung Barat, Kec. Binjai Selatan, Kota Binjai Prov. Sumatera Utara","Ir. H. NIRWANSYAH NST","SURYA DONI MATONDANG","20746","B.07198","03 Mar 1987","6"
