"npsn","tanggal_pendirian","tanggal_operasional"
"10303469","21-01-1979","01-12-2018"
"10303475","16-04-1979","17-02-2016"
"10303479","11-11-1965","02-09-2014"
"10303482","14-02-2003","15-02-2003"
"10303499","22-03-1961","26-04-2016"
"10303503","20-11-1984","20-11-1984"
"10303505","11-11-2015","11-11-2015"
"10303559","-","-"
"10303612","01-10-1997","01-10-1997"
"10303690","01-08-2004","23-11-2021"
"10303691","15-10-1959","29-05-2019"
"10303692","23-08-1993","23-08-1993"
"10303779","01-01-1989","01-10-2013"
"10303886","01-01-1900","24-08-2021"
"10303904","15-09-1955","28-07-2004"
"10303905","08-12-1973","28-07-2004"
"10303906","02-03-2015","02-03-2015"
"10304194","30-06-2006","30-06-2006"
"10304831","12-04-2004","25-01-2005"
"10304889","10-08-1982","06-09-1988"
"10304891","01-01-1900","26-02-2016"
"10305547","20-11-1984","20-11-1984"
"10305548","31-07-2004","31-07-2004"
"10305549","20-01-1984","03-06-1986"
"10305561","01-07-1988","01-07-1988"
"10305564","07-03-1987","27-12-2022"
"10305566","01-04-1991","01-04-1991"
"10305568","31-07-2004","24-07-2003"
"10305569","-","-"
"10305570","31-07-2004","31-07-2004"
"10306085","03-09-2021","03-09-2021"
"10306086","01-01-1900","01-09-2006"
"10306088","28-04-1989","28-04-1989"
"10306089","02-03-2003","26-05-2003"
"10306090","01-01-1900","01-01-1991"
"10307310","14-07-1981","01-01-1900"
"10307418","07-03-2022","07-03-2022"
"10307524","17-03-1997","06-12-2017"
"10307525","16-12-1957","06-02-2023"
"10307526","29-01-1998","29-01-1998"
"10307527","27-09-2003","27-09-2003"
"10307531","01-01-1900","04-03-2014"
"10307562","20-04-2005","20-04-2005"
"10307604","01-01-1900","01-01-1900"
"10307801","18-01-1993","16-04-2021"
"10307806","05-05-2006","05-05-2006"
"10307884","09-04-2007","26-06-2006"
"10308098","01-01-1900","01-01-1900"
"10308151","06-09-1988","06-09-1988"
"10308260","15-08-2007","15-08-2007"
"10308265","12-06-2006","14-08-2006"
"10308464","13-01-1997","02-07-2015"
"10308631","30-06-2009","26-02-2016"
"10309885","20-05-2008","16-04-2024"
"10310619","15-05-2009","15-05-2009"
"10310809","30-12-2011","30-12-2011"
"10310873","11-07-2011","01-07-2012"
"10310898","04-06-2012","11-06-2012"
"10310901","06-09-2012","10-09-2012"
"10400365","01-01-1900","17-07-1965"
"10400815","-","-"
"10400840","-","-"
"10400841","18-03-2002","27-09-2013"
"10400843","01-01-1900","01-01-1900"
"10400846","18-03-2002","18-03-2002"
"10400848","01-07-1989","01-07-1989"
"10400851","-","-"
"10400855","",""
"10400858","23-08-1993","23-08-1993"
"10400867","01-10-1989","05-06-1990"
"10400868","23-07-2007","23-07-2007"
"10400873","01-01-1900","02-12-2013"
"10400875","20-10-1999","20-10-1999"
"10400876","23-07-2007","23-07-2007"
"10401512","31-07-1979","31-12-1987"
"10401516","-","-"
"10401517","-","-"
"10401528","-","-"
"10401560","11-06-2002","11-06-2002"
"10401563","01-01-1900","01-01-1900"
"10402060","19-12-2003","19-12-2003"
"10402071","-","-"
"10402072","30-05-1991","30-05-1991"
"10402073","-","-"
"10402078","17-11-2000","17-11-2000"
"10402726","-","-"
"10402727","17-07-2002","26-02-2015"
"10402728","20-01-1998","30-04-2015"
"10402938","28-12-2001","28-12-2001"
"10402940","29-05-2002","29-05-2002"
"10402954","21-12-1992","07-04-2003"
"10403001","07-04-2003","07-04-2003"
"10403015","26-06-2002","26-06-2002"
"10403077","28-07-2003","03-09-2003"
"10403241","29-06-1966","27-09-1963"
"10403243","20-11-1984","20-11-1984"
"10403249","15-11-1994","01-01-1900"
"10403418","-","-"
"10403421","22-12-1986","22-12-1986"
"10403422","21-06-2004","01-01-1900"
"10403424","03-08-2009","21-03-2007"
"10403426","17-11-2000","17-11-2000"
"10403427","24-07-1996","24-07-2006"
"10403429","-","-"
"10403430","13-11-2002","13-11-2003"
"10403434","-","-"
"10403436","20-12-2004","20-12-2004"
"10403601","29-07-2005","29-07-2005"
"10403690","30-05-1991","01-01-1900"
"10403692","01-01-1900","01-01-1900"
"10403694","-","-"
"10403695","-","-"
"10403697","23-08-1993","23-08-1993"
"10403994","26-10-1988","26-10-1988"
"10403996","19-11-1986","05-10-1988"
"10404003","-","-"
"10404011","29-01-1998","29-01-1998"
"10404014","01-01-1900","01-01-1900"
